"Asset","SourcePath","Class","Disposition","Risk","VerificationMethod","EvidencePath","EvidenceLine"
"ANATOMY_SUMMARY.md","F:\BUTLER_AUDIT\ANATOMY_SUMMARY.md","historical","Archive","Snapshot bias if treated as current truth","Reference-only archival use","F:\BUTLER_AUDIT\ANATOMY_SUMMARY.md","1"
"CAPABILITY_GAPS.md","F:\BUTLER_AUDIT\CAPABILITY_GAPS.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT\CAPABILITY_GAPS.md","1"
"data_flows.md","F:\BUTLER_AUDIT\data_flows.md","historical","Archive","Snapshot bias if treated as current truth","Reference-only archival use","F:\BUTLER_AUDIT\data_flows.md","1"
"dependency_graph.md","F:\BUTLER_AUDIT\dependency_graph.md","historical","Archive","Snapshot bias if treated as current truth","Reference-only archival use","F:\BUTLER_AUDIT\dependency_graph.md","1"
"MIGRATION_ROADMAP.md","F:\BUTLER_AUDIT\MIGRATION_ROADMAP.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT\MIGRATION_ROADMAP.md","32"
"REDESIGN_PROPOSAL.md","F:\BUTLER_AUDIT\REDESIGN_PROPOSAL.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT\REDESIGN_PROPOSAL.md","1"
"TECH_STACK_DECISIONS.md","F:\BUTLER_AUDIT\TECH_STACK_DECISIONS.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT\TECH_STACK_DECISIONS.md","20"
"16_Authoritative_Execution_Document.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\16_Authoritative_Execution_Document.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\16_Authoritative_Execution_Document.md","213"
"problem_count_mapping.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C1\problem_count_mapping.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C1\problem_count_mapping.md","129"
"reconciliation_note.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C1\reconciliation_note.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C1\reconciliation_note.md","1"
"RULE19_FULL_FILE_READ_PROTOCOL.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C1\RULE19_FULL_FILE_READ_PROTOCOL.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C1\RULE19_FULL_FILE_READ_PROTOCOL.md","1"
"PHASE10_COMPLETION_CRITERIA.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C10\PHASE10_COMPLETION_CRITERIA.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C10\PHASE10_COMPLETION_CRITERIA.md","103"
"severity_validation_log.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C2\severity_validation_log.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C2\severity_validation_log.md","34"
"o1_o8_integration_report.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C4\o1_o8_integration_report.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C4\o1_o8_integration_report.md","164"
